Success found: Cooma  City ID:2170577 
Success found: Fort-Shevchenko  City ID:609906 
Success found: Östersund  City ID:2685750 
Success found: Suifenhe  City ID:2034657 
Success found: Sibolga  City ID:1213855 
Success found: Strezhevoy  City ID:1490796 
Success found: Gombong  City ID:1643920 
588. marv dasht was not found. 
Success found: Amuntai  City ID:1651461 
Success found: Cabinda  City ID:2243271 
591. tatsinskaya was not found. 
Success found: Winnemucca  City ID:5710360 
Success found: Chumikan  City ID:2025256 
Success found: Morón  City ID:3430545 
Success found: Nautla  City ID:3522788 
Success found: Yumen  City ID:1528998 
Success found: Breves  City ID:3404817 
Success found: Paris  City ID:2988507 
599. allapalli was not found. 
Success found: Poopó  City ID:3907685 
Success found: Pomabamba  City ID:3693468 
Success found: Kargasok  City ID:1504382 
Success found: Khandyga  City ID:2022773 
Success found: Nongstoin  City ID:1261205 
Success found: Magomeni  City ID:155321 
Success found: Bimbo  City ID:2388873 
Success found: Kangaatsiaq  City ID:3422683 
Success found: Hede  City ID:1808744 
Success found: Tuxpan  City ID:3980844 
